Âge,Niveau,Matière,Objectif principal,Évalué par
14,Apprenti,Langues et communication,"""Utiliser des techniques de persuasion pour influencer un public à l’écrit ou à l’oral.""",Humain
14,Praticien,Langues et communication,"""Adapter le ton et le langage selon le contexte, qu’il soit formel ou informel.""",Humain
14,Confirmé,Langues et communication,"""Participer activement aux discussions, en fournissant des idées et des commentaires constructifs.""",Humain
14,Avancé,Langues et communication,"""Analyser des arguments écrits pour identifier leur force et leur cohérence.""",IA
14,Expert,Langues et communication,"""Développer des contre-arguments et réfuter des points de vue opposés de manière logique.""",IA
14,Maître,Langues et communication,"""Améliorer ses essais ou discours en intégrant les retours de ses pairs ou enseignants.""",Humain
15,Initié,Langues et communication,"""Analyser les thèmes principaux dans des textes littéraires, articles et discours.""",Humain
15,Apprenti,Langues et communication,"""Comparer les styles d’écriture de différents auteurs ou périodes historiques.""",Humain
15,Praticien,Langues et communication,"""Étudier comment les contextes historiques et culturels influencent les œuvres.""",Humain
15,Confirmé,Langues et communication,"""Rédiger des essais structurés avec des introductions, des arguments et des conclusions claires.""",Humain
15,Avancé,Langues et communication,"""Explorer des dispositifs rhétoriques comme l’éthos, le pathos et les logos dans des discours.""",Humain
15,Expert,Langues et communication,"""Créer des récits narratifs ou analytiques en s’inspirant de genres variés.""",Humain
15,Maître,Langues et communication,"""Présenter des analyses littéraires ou critiques devant un groupe en utilisant des supports visuels.""",Humain
16,Initié,Langues et communication,"""Évaluer la cohérence et la validité des arguments dans des essais ou des articles.""",IA
16,Apprenti,Langues et communication,"""Analyser les stratégies d’écriture pour persuader, informer ou divertir un public.""",IA
16,Praticien,Langues et communication,"""Rédiger des critiques approfondies sur des œuvres littéraires ou culturelles.""",Humain
16,Confirmé,Langues et communication,"""Participer à des débats formels en utilisant un raisonnement structuré et des contre-arguments.""",Humain
16,Avancé,Langues et communication,"""Synthétiser des idées complexes dans des articles académiques en utilisant des citations appropriées.""",IA
16,Expert,Langues et communication,"""Adapter son style d’écriture en fonction de l’audience et du média, comme des blogs ou des rapports.""",Humain
16,Maître,Langues et communication,"""Collaborer à des projets de rédaction en équipe, comme des articles ou des publications scolaires.""",Humain
17,Initié,Langues et communication,"""Créer des textes argumentatifs en intégrant des contre-arguments et des appels logiques.""",IA
17,Apprenti,Langues et communication,"""Écrire des récits complexes avec des personnages bien développés et des intrigues profondes.""",Humain
17,Praticien,Langues et communication,"""Analyser des œuvres littéraires en explorant des thèmes comme l’identité ou le pouvoir.""",Humain
17,Confirmé,Langues et communication,"""Traduire des idées abstraites en récits captivants ou en essais analytiques.""",Humain
17,Avancé,Langues et communication,"""Réviser et peaufiner des textes en fonction de retours pour améliorer la clarté et l’impact.""",Humain
17,Expert,Langues et communication,"""Participer à des concours de rédaction ou des ateliers d’écriture avancés.""",Humain
17,Maître,Langues et communication,"""Présenter des idées complexes dans des formats variés, comme des présentations multimédias ou des podcasts.""",Humain
5,Initié,Mathématiques et raisonnement logique,"""Apprendre à reconnaître et nommer les chiffres de 1 à 10.""",IA
5,Apprenti,Mathématiques et raisonnement logique,"""Compter des objets jusqu’à 10 en les regroupant visuellement.""",IA
5,Praticien,Mathématiques et raisonnement logique,"""Associer des nombres à des quantités dans des situations simples.""",IA
5,Confirmé,Mathématiques et raisonnement logique,"""Classer des objets selon leur taille, leur couleur ou leur forme.""",IA
5,Avancé,Mathématiques et raisonnement logique,"""Identifier des motifs simples et les reproduire (ex. : rouge, bleu, rouge).""",IA
5,Expert,Mathématiques et raisonnement logique,"""Comprendre les concepts de base comme ""plus"" et ""moins"".""",IA
5,Maître,Mathématiques et raisonnement logique,"""Participer à des jeux impliquant des nombres ou des formes.""",Humain
6,Initié,Mathématiques et raisonnement logique,"""Compter jusqu’à 20 et écrire les chiffres correspondants.""",IA
6,Apprenti,Mathématiques et raisonnement logique,"""Réaliser des additions et soustractions simples à l’aide d’objets concrets.""",IA
6,Praticien,Mathématiques et raisonnement logique,"""Reconnaitre des formes géométriques simples comme le cercle, le carré et le triangle.""",IA
6,Confirmé,Mathématiques et raisonnement logique,"""Comparer des longueurs, des poids ou des volumes de manière visuelle.""",IA
6,Avancé,Mathématiques et raisonnement logique,"""Trouver des solutions simples à des problèmes concrets, comme partager des objets également.""",Humain
6,Expert,Mathématiques et raisonnement logique,"""Commencer à utiliser des tableaux ou des dessins pour organiser des informations.""",IA
6,Maître,Mathématiques et raisonnement logique,"""Expliquer comment ils ont résolu un problème en utilisant des mots simples.""",Humain
7,Initié,Mathématiques et raisonnement logique,"""Compter jusqu’à 50 et identifier des modèles numériques comme compter de 2 en 2.""",IA
7,Apprenti,Mathématiques et raisonnement logique,"""Résoudre des problèmes d’addition et de soustraction avec des nombres jusqu’à 20.""",IA
7,Praticien,Mathématiques et raisonnement logique,"""Créer des motifs complexes en combinant des formes ou des couleurs.""",Humain
7,Confirmé,Mathématiques et raisonnement logique,"""Mesurer des objets avec des outils simples, comme une règle ou une corde.""",IA
7,Avancé,Mathématiques et raisonnement logique,"""Comprendre les bases de l’heure (ex. : matin, midi, soir) et lire des horloges simples.""",IA
7,Expert,Mathématiques et raisonnement logique,"""Utiliser des graphiques basiques pour représenter des données simples (ex. : préférences de couleur).""",IA
7,Maître,Mathématiques et raisonnement logique,"""Proposer des solutions créatives à des défis mathématiques dans des activités ludiques.""",Humain
8,Initié,Mathématiques et raisonnement logique,"""Apprendre les nombres et les opérations de base (addition et soustraction).""",IA
8,Apprenti,Mathématiques et raisonnement logique,"""Identifier les formes géométriques simples et leurs propriétés.""",IA
8,Praticien,Mathématiques et raisonnement logique,"""Résoudre des problèmes mathématiques simples liés au quotidien.""",IA
8,Confirmé,Mathématiques et raisonnement logique,"""Reconnaître des motifs ou des séquences numériques simples.""",IA
8,Avancé,Mathématiques et raisonnement logique,"""Utiliser des outils pour mesurer des longueurs ou des objets.""",IA
8,Expert,Mathématiques et raisonnement logique,"""Effectuer des multiplications et des divisions simples.""",IA
8,Maître,Mathématiques et raisonnement logique,"""Estimer et vérifier les résultats de calculs basiques.""",IA
9,Initié,Mathématiques et raisonnement logique,"""Utiliser les fractions simples pour représenter des parts d’un tout.""",IA
9,Apprenti,Mathématiques et raisonnement logique,"""Effectuer des calculs impliquant des nombres décimaux.""",IA
9,Praticien,Mathématiques et raisonnement logique,"""Résoudre des problèmes en plusieurs étapes combinant plusieurs opérations.""",IA
9,Confirmé,Mathématiques et raisonnement logique,"""Analyser et créer des graphiques simples comme des diagrammes à barres.""",IA
9,Avancé,Mathématiques et raisonnement logique,"""Utiliser les concepts de symétrie et de rotation dans des figures géométriques.""",IA
9,Expert,Mathématiques et raisonnement logique,"""Traduire des situations réelles en équations ou expressions mathématiques.""",IA
9,Maître,Mathématiques et raisonnement logique,"""Calculer des pourcentages simples pour résoudre des problèmes pratiques.""",IA
10,Initié,Mathématiques et raisonnement logique,"""Représenter des fractions et des nombres décimaux sur une droite numérique.""",IA
10,Apprenti,Mathématiques et raisonnement logique,"""Explorer la relation entre les unités de mesure (longueur, poids, volume).""",IA
10,Praticien,Mathématiques et raisonnement logique,"""Appliquer les formules pour calculer l’aire et le périmètre de figures.""",IA
10,Confirmé,Mathématiques et raisonnement logique,"""Analyser les données dans des graphiques et des tableaux.""",IA
10,Avancé,Mathématiques et raisonnement logique,"""Résoudre des équations simples en utilisant des concepts algébriques.""",IA
10,Expert,Mathématiques et raisonnement logique,"""Identifier des angles et des relations entre les figures dans des contextes géométriques.""",IA
10,Maître,Mathématiques et raisonnement logique,"""Créer et résoudre des problèmes mathématiques complexes liés à la vie courante.""",Humain
11,Initié,Mathématiques et raisonnement logique,"""Résoudre des équations impliquant des variables inconnues.""",IA
11,Apprenti,Mathématiques et raisonnement logique,"""Appliquer des concepts de proportions, ratios et taux à des scénarios pratiques.""",IA
11,Praticien,Mathématiques et raisonnement logique,"""Étudier les propriétés des polygones, des cercles et des solides géométriques.""",IA
11,Confirmé,Mathématiques et raisonnement logique,"""Interpréter les relations entre des données dans des graphiques avancés.""",IA
11,Avancé,Mathématiques et raisonnement logique,"""Calculer la probabilité d’événements simples ou combinés.""",IA
11,Expert,Mathématiques et raisonnement logique,"""Utiliser les notions de pente et de coordonnées dans des plans cartésiens.""",IA
11,Maître,Mathématiques et raisonnement logique,"""Explorer des concepts avancés comme les fonctions et les transformations.""",IA
12,Initié,Mathématiques et raisonnement logique,"""Simplifier des expressions algébriques en utilisant des règles de base.""",IA
12,Apprenti,Mathématiques et raisonnement logique,"""Résoudre des équations linéaires simples en une ou deux étapes.""",IA
12,Praticien,Mathématiques et raisonnement logique,"""Représenter des situations réelles à l’aide d’expressions algébriques.""",IA
12,Confirmé,Mathématiques et raisonnement logique,"""Tracer et interpréter des graphiques simples sur un plan cartésien.""",IA
12,Avancé,Mathématiques et raisonnement logique,"""Explorer les propriétés géométriques des polygones et des solides.""",IA
12,Expert,Mathématiques et raisonnement logique,"""Appliquer des concepts de proportionnalité dans des contextes pratiques.""",IA
12,Maître,Mathématiques et raisonnement logique,"""Analyser des ensembles de données en calculant la moyenne, la médiane et le mode.""",IA
13,Initié,Mathématiques et raisonnement logique,"""Calculer l’aire, le périmètre et le volume de formes complexes.""",IA
13,Apprenti,Mathématiques et raisonnement logique,"""Résoudre des problèmes impliquant des transformations géométriques (rotation, translation).""",IA
13,Praticien,Mathématiques et raisonnement logique,"""Utiliser le raisonnement proportionnel pour résoudre des problèmes réels.""",IA
13,Confirmé,Mathématiques et raisonnement logique,"""Analyser les tendances dans des graphiques ou des tableaux de données.""",IA
13,Avancé,Mathématiques et raisonnement logique,"""Utiliser les règles de probabilité pour prédire les résultats d’expériences simples.""",IA
13,Expert,Mathématiques et raisonnement logique,"""Représenter des relations mathématiques à l’aide de fonctions linéaires.""",IA
13,Maître,Mathématiques et raisonnement logique,"""Valider des solutions mathématiques en justifiant chaque étape.""",IA
14,Initié,Mathématiques et raisonnement logique,"""Étudier les relations entre des variables à travers des nuages de points et des équations.""",IA
14,Apprenti,Mathématiques et raisonnement logique,"""Appliquer des modèles mathématiques pour résoudre des problèmes complexes.""",IA
14,Praticien,Mathématiques et raisonnement logique,"""Calculer l’écart type et interpréter la variabilité dans des ensembles de données.""",IA
14,Confirmé,Mathématiques et raisonnement logique,"""Optimiser des solutions dans des problèmes impliquant des contraintes spécifiques.""",IA
14,Avancé,Mathématiques et raisonnement logique,"""Résoudre des scénarios impliquant des ratios, proportions et pourcentages.""",IA
14,Expert,Mathématiques et raisonnement logique,"""Utiliser des concepts de géométrie avancée pour résoudre des problèmes de construction.""",IA
14,Maître,Mathématiques et raisonnement logique,"""Créer et présenter des stratégies de résolution pour des problèmes multidimensionnels.""",Humain
15,Initié,Mathématiques et raisonnement logique,"""Résoudre des équations linéaires et quadratiques à l’aide de différentes méthodes.""",IA
15,Apprenti,Mathématiques et raisonnement logique,"""Analyser les fonctions et représenter des graphiques pour identifier leurs caractéristiques (racines, sommets).""",IA
15,Praticien,Mathématiques et raisonnement logique,"""Appliquer les concepts de proportionnalité et de pourcentage dans des problèmes pratiques.""",IA
15,Confirmé,Mathématiques et raisonnement logique,"""Explorer des relations géométriques simples, comme les angles et les triangles, dans des contextes réels.""",IA
15,Avancé,Mathématiques et raisonnement logique,"""Effectuer des calculs de base sur des ensembles de données, comme la moyenne et l’écart type.""",IA
15,Expert,Mathématiques et raisonnement logique,"""Résoudre des problèmes impliquant des combinaisons et des permutations simples.""",IA
15,Maître,Mathématiques et raisonnement logique,"""Utiliser des outils numériques pour visualiser et vérifier des solutions mathématiques.""",IA
16,Initié,Mathématiques et raisonnement logique,"""Étudier les propriétés des fonctions quadratiques et exponentielles pour résoudre des problèmes complexes.""",IA
16,Apprenti,Mathématiques et raisonnement logique,"""Appliquer des concepts de géométrie analytique pour résoudre des problèmes dans un plan cartésien.""",IA
16,Praticien,Mathématiques et raisonnement logique,"""Analyser des ensembles de données en utilisant des graphiques et des mesures de tendance centrale.""",IA
16,Confirmé,Mathématiques et raisonnement logique,"""Utiliser les probabilités pour prédire des résultats dans des expériences ou des jeux de hasard.""",IA
16,Avancé,Mathématiques et raisonnement logique,"""Résoudre des systèmes d’équations linéaires à deux ou trois variables.""",IA
16,Expert,Mathématiques et raisonnement logique,"""Modéliser des problèmes réels avec des équations algébriques ou des fonctions.""",IA
16,Maître,Mathématiques et raisonnement logique,"""Expliquer les solutions mathématiques à des pairs en utilisant un raisonnement structuré.""",Humain
17,Initié,Mathématiques et raisonnement logique,"""Explorer les concepts de calcul différentiel pour analyser les taux de changement.""",IA
17,Apprenti,Mathématiques et raisonnement logique,"""Étudier les fonctions logarithmiques et trigonométriques pour des applications complexes.""",IA
17,Praticien,Mathématiques et raisonnement logique,"""Analyser des problèmes multidimensionnels impliquant des matrices ou des vecteurs.""",IA
17,Confirmé,Mathématiques et raisonnement logique,"""Calculer les probabilités conditionnelles dans des scénarios avancés, comme les arbres de décision.""",IA
17,Avancé,Mathématiques et raisonnement logique,"""Utiliser des logiciels ou des outils comme Python ou Excel pour analyser de grandes quantités de données.""",IA
17,Expert,Mathématiques et raisonnement logique,"""Résoudre des problèmes d’optimisation liés à des contextes économiques ou scientifiques.""",IA
17,Maître,Mathématiques et raisonnement logique,"""Présenter des projets mathématiques interdisciplinaires combinant logique, algèbre et analyse.""",Humain
5,Initié,Sciences naturelles,"""Observer et nommer des éléments de la nature, comme les plantes, les animaux et les roches.""",Humain
5,Apprenti,Sciences naturelles,"""Identifier les parties du corps humain et leurs fonctions de base.""",Humain
5,Praticien,Sciences naturelles,"""Reconnaître les besoins fondamentaux des êtres vivants (eau, nourriture, abri).""",Humain
5,Confirmé,Sciences naturelles,"""Observer et décrire des phénomènes simples, comme la pluie ou le vent.""",Humain
5,Avancé,Sciences naturelles,"""Classer des objets naturels selon leurs caractéristiques (taille, couleur, texture).""",IA
5,Expert,Sciences naturelles,"""Comprendre que les plantes poussent à partir de graines et ont besoin de lumière et d’eau.""",Humain
5,Maître,Sciences naturelles,"""Participer à des activités simples d’exploration de la nature, comme la collecte de feuilles.""",Humain
6,Initié,Sciences naturelles,"""Décrire les cycles naturels, comme le jour et la nuit ou les saisons.""",IA
6,Apprenti,Sciences naturelles,"""Observer et comparer les différences entre les plantes et les animaux.""",Humain
6,Praticien,Sciences naturelles,"""Explorer les états de la matière (solide, liquide, gaz) avec des exemples simples.""",IA
6,Confirmé,Sciences naturelles,"""Découvrir les habitats des animaux et leur adaptation à leur environnement.""",Humain
6,Avancé,Sciences naturelles,"""Participer à des expériences simples, comme faire flotter ou couler des objets.""",Humain
6,Expert,Sciences naturelles,"""Comprendre que l’énergie vient du soleil et permet aux plantes de grandir.""",IA
6,Maître,Sciences naturelles,"""Expliquer des observations en utilisant des mots simples (ex. : « Les arbres perdent leurs feuilles en automne »).""",Humain
7,Initié,Sciences naturelles,"""Étudier les relations entre les êtres vivants dans des chaînes alimentaires simples.""",Humain
7,Apprenti,Sciences naturelles,"""Observer les changements dans la nature, comme la croissance des plantes ou les cycles de vie.""",IA
7,Praticien,Sciences naturelles,"""Découvrir les bases du recyclage et de la protection de l’environnement.""",IA
7,Confirmé,Sciences naturelles,"""Décrire des forces simples, comme pousser ou tirer, et leurs effets sur les objets.""",IA
7,Avancé,Sciences naturelles,"""Apprendre à utiliser des outils comme une loupe pour observer les petits détails.""",IA
7,Expert,Sciences naturelles,"""Expliquer pourquoi certains matériaux, comme le plastique ou le métal, sont utilisés pour fabriquer des objets.""",IA
7,Maître,Sciences naturelles,"""Proposer des idées pour protéger les animaux ou les plantes dans son environnement local.""",Humain
8,Initié,Sciences naturelles,"""Identifier les besoins fondamentaux des êtres vivants, comme l’eau, la lumière et la nourriture.""",Humain
8,Apprenti,Sciences naturelles,"""Reconnaître les parties de base des plantes et leur fonction.""",Humain
8,Praticien,Sciences naturelles,"""Classer les animaux selon leurs caractéristiques simples.""",IA
8,Confirmé,Sciences naturelles,"""Observer et décrire des cycles naturels, comme le cycle de vie d’une plante.""",IA
8,Avancé,Sciences naturelles,"""Comprendre les propriétés de base de la matière (solide, liquide, gaz).""",IA
8,Expert,Sciences naturelles,"""Mener des expériences simples pour observer les changements physiques.""",IA
8,Maître,Sciences naturelles,"""Relier les phénomènes naturels à des observations quotidiennes.""",Humain
9,Initié,Sciences naturelles,"""Expliquer les différences entre les propriétés physiques et chimiques de la matière.""",IA
9,Apprenti,Sciences naturelles,"""Identifier les interactions simples entre plantes, animaux et environnement.""",Humain
9,Praticien,Sciences naturelles,"""Comprendre comment les changements climatiques affectent les écosystèmes.""",IA
9,Confirmé,Sciences naturelles,"""Étudier les effets de la force et du mouvement dans des expériences pratiques.""",IA
9,Avancé,Sciences naturelles,"""Décrire les principes de base de l’électricité et des circuits simples.""",IA
9,Expert,Sciences naturelles,"""Mener des expériences pour explorer la lumière et le son.""",IA
9,Maître,Sciences naturelles,"""Analyser des données environnementales simples, comme les températures ou les précipitations.""",IA
10,Initié,Sciences naturelles,"""Explorer la structure de base des cellules et leurs fonctions principales.""",IA
10,Apprenti,Sciences naturelles,"""Étudier les relations alimentaires dans un écosystème, comme les chaînes alimentaires.""",IA
10,Praticien,Sciences naturelles,"""Décrire les propriétés et comportements de la matière dans différents contextes.""",IA
10,Confirmé,Sciences naturelles,"""Observer les forces, comme la gravité et la friction, et leurs effets sur le mouvement.""",IA
10,Avancé,Sciences naturelles,"""Expliquer les concepts de base liés aux mélanges et solutions en chimie.""",IA
10,Expert,Sciences naturelles,"""Analyser des phénomènes naturels comme la réfraction de la lumière ou l’érosion.""",IA
10,Maître,Sciences naturelles,"""Proposer des solutions aux problèmes environnementaux locaux simples.""",Humain
11,Initié,Sciences naturelles,"""Comprendre la structure et la fonction de l’ADN et des gènes.""",IA
11,Apprenti,Sciences naturelles,"""Étudier les interactions entre les espèces dans des écosystèmes complexes.""",Humain
11,Praticien,Sciences naturelles,"""Analyser des réactions chimiques, comme la combustion ou les acides-bases.""",IA
11,Confirmé,Sciences naturelles,"""Expliquer les lois fondamentales de la physique, comme les lois de Newton.""",IA
11,Avancé,Sciences naturelles,"""Observer les impacts de l’activité humaine sur les ressources naturelles.""",Humain
11,Expert,Sciences naturelles,"""Évaluer des initiatives pour la durabilité et la conservation environnementale.""",Humain
11,Maître,Sciences naturelles,"""Concevoir des expériences complexes pour explorer des phénomènes scientifiques.""",Humain
12,Initié,Sciences naturelles,"""Identifier les composants clés des écosystèmes, comme les facteurs biotiques et abiotiques.""",IA
12,Apprenti,Sciences naturelles,"""Comprendre les propriétés physiques de la matière, comme la densité et la solubilité.""",IA
12,Praticien,Sciences naturelles,"""Observer et décrire des cycles naturels, comme le cycle de l’eau ou du carbone.""",IA
12,Confirmé,Sciences naturelles,"""Classer les organismes vivants selon leurs caractéristiques principales.""",IA
12,Avancé,Sciences naturelles,"""Expliquer les interactions simples entre la matière, l’énergie et les forces naturelles.""",IA
12,Expert,Sciences naturelles,"""Mener des expériences pour observer des changements physiques et chimiques.""",IA
12,Maître,Sciences naturelles,"""Analyser des données simples pour tirer des conclusions sur des phénomènes naturels.""",IA
13,Initié,Sciences naturelles,"""Étudier les interactions dans un écosystème, comme les chaînes et réseaux alimentaires.""",IA
13,Apprenti,Sciences naturelles,"""Comprendre les impacts des activités humaines sur l’environnement, comme la pollution.""",IA
13,Praticien,Sciences naturelles,"""Décrire la structure de base de la cellule et ses fonctions principales.""",IA
13,Confirmé,Sciences naturelles,"""Analyser les relations entre les forces, comme la gravité et la friction.""",IA
13,Avancé,Sciences naturelles,"""Mener des expériences pour démontrer les transformations de l’énergie.""",IA
13,Expert,Sciences naturelles,"""Observer et comparer les propriétés des mélanges et des solutions en chimie.""",IA
13,Maître,Sciences naturelles,"""Proposer des solutions à des problèmes environnementaux locaux.""",Humain
14,Initié,Sciences naturelles,"""Expliquer les lois de Newton et leur application dans des systèmes mécaniques.""",IA
14,Apprenti,Sciences naturelles,"""Analyser les réactions chimiques, comme les acides-bases ou la combustion.""",IA
14,Praticien,Sciences naturelles,"""Étudier les propriétés et comportements des ondes, comme la lumière et le son.""",IA
14,Confirmé,Sciences naturelles,"""Explorer la structure et la fonction de l’ADN et son rôle dans l’hérédité.""",IA
14,Avancé,Sciences naturelles,"""Relier les transformations énergétiques à des systèmes complexes, comme les moteurs.""",IA
14,Expert,Sciences naturelles,"""Concevoir des expériences pour tester des hypothèses scientifiques.""",Humain
14,Maître,Sciences naturelles,"""Évaluer des initiatives de conservation pour préserver la biodiversité.""",Humain
15,Initié,Sciences naturelles,"""Analyser la structure de l’ADN et comprendre son rôle dans l’hérédité génétique.""",IA
15,Apprenti,Sciences naturelles,"""Observer les cycles biologiques comme la photosynthèse et la respiration cellulaire.""",IA
15,Praticien,Sciences naturelles,"""Étudier les bases des réactions chimiques, comme les équations d’oxydoréduction.""",IA
15,Confirmé,Sciences naturelles,"""Comprendre les lois fondamentales de la physique, comme celles du mouvement et de l’énergie.""",IA
15,Avancé,Sciences naturelles,"""Explorer les interactions simples entre les organismes dans les écosystèmes.""",IA
15,Expert,Sciences naturelles,"""Réaliser des expériences en laboratoire pour observer des phénomènes simples.""",IA
15,Maître,Sciences naturelles,"""Documenter des observations scientifiques dans des rapports structurés.""",Humain
16,Initié,Sciences naturelles,"""Étudier les relations entre les gènes et l’environnement dans l’expression des traits.""",IA
16,Apprenti,Sciences naturelles,"""Analyser les équilibres chimiques et les facteurs qui influencent les réactions.""",IA
16,Praticien,Sciences naturelles,"""Utiliser les lois de la thermodynamique pour expliquer les transformations d’énergie.""",IA
